session_id,source_ip,destination_ip,source_port,destination_port,protocol,packet_size,tcp_flags,duration_sec,attack_type
1,192.168.1.103,10.0.0.141,3945,25,FTP,413,RST,0.95,MITM
2,192.168.1.180,10.0.0.12,5700,22,FTP,766,SYN,2.463665534,Session Hijack
3,192.168.1.93,10.0.0.37,21449,21,FTP,315,RST,2.73,XSS
4,192.168.1.15,10.0.0.74,36209,443,FTP,544,SYN,0.79,SQLi
5,192.168.1.107,10.0.0.252,50708,443,FTP,622,SYN,2.413017804,DoS
6,192.168.1.72,10.0.0.248,14487,443,HTTPS,342,PSH,3.17,Ransomware
7,192.168.1.189,10.0.0.73,63589,21,SMTP,821,ACK,3.211179878,Phishing
8,192.168.1.21,10.0.0.52,26498,8080,HTTP,492,SYN,0.12,No Attack
9,192.168.1.103,10.0.0.199,41959,80,SMTP,635,PSH,1.68,MITM
10,192.168.1.122,10.0.0.130,61022,21,SSH,527,ACK,0.94,Session Hijack
11,192.168.1.211,10.0.0.246,2493,443,SSH,584,URG,2.47,XSS
12,192.168.1.215,10.0.0.56,61288,443,SMTP,209,URG,0.998871016,SQLi
13,192.168.1.75,10.0.0.60,59620,443,FTP,505,ACK,0.8,DoS
14,192.168.1.203,10.0.0.23,8316,8080,HTTPS,567,RST,0.18,Ransomware
15,192.168.1.88,10.0.0.103,59137,22,HTTP,653,RST,5.06,Phishing
16,192.168.1.117,10.0.0.40,26433,80,FTP,487,RST,5.724720469,No Attack
17,192.168.1.100,10.0.0.64,24550,21,SMTP,494,FIN,8.935427846,MITM
18,192.168.1.104,10.0.0.231,56176,443,SMTP,455,ACK,2.06,Session Hijack
19,192.168.1.152,10.0.0.85,24489,25,HTTPS,541,FIN,3.29,XSS
20,192.168.1.131,10.0.0.151,31979,80,HTTPS,638,RST,1.89,SQLi
21,192.168.1.150,10.0.0.157,27809,25,SMTP,462,PSH,1.944795391,DoS
22,192.168.1.53,10.0.0.206,22057,80,FTP,563,RST,3.59,Ransomware
23,192.168.1.2,10.0.0.218,7955,443,FTP,430,SYN,3.675767562,Phishing
24,192.168.1.88,10.0.0.179,53600,80,FTP,643,PSH,2.64,No Attack
25,192.168.1.236,10.0.0.197,2115,80,HTTP,577,PSH,4.49,MITM
26,192.168.1.158,10.0.0.247,26796,443,HTTP,427,ACK,5.28,Session Hijack
27,192.168.1.38,10.0.0.223,17387,8080,FTP,464,FIN,1.18,XSS
28,192.168.1.130,10.0.0.89,29514,25,SMTP,552,SYN,0.66,SQLi
29,192.168.1.192,10.0.0.31,60028,8080,HTTPS,722,PSH,1.43,DoS
30,192.168.1.188,10.0.0.178,58025,25,SSH,534,FIN,0.2,Ransomware
31,192.168.1.21,10.0.0.20,54830,22,HTTPS,448,FIN,5.57,Phishing
32,192.168.1.161,10.0.0.236,1284,25,HTTPS,691,SYN,8.25,No Attack
33,192.168.1.204,10.0.0.183,11480,25,SSH,396,SYN,2.12,MITM
34,192.168.1.58,10.0.0.209,23344,80,FTP,776,RST,3.381983593,Session Hijack
35,192.168.1.22,10.0.0.237,14459,22,HTTPS,589,RST,0.78,XSS
36,192.168.1.253,10.0.0.130,63268,443,SSH,449,PSH,4.02,SQLi
37,192.168.1.236,10.0.0.153,43169,443,SMTP,429,PSH,4.61,DoS
38,192.168.1.89,10.0.0.13,64712,21,SMTP,494,PSH,0.889055267,Ransomware
39,192.168.1.49,10.0.0.122,49605,22,SMTP,555,RST,0.28,Phishing
40,192.168.1.219,10.0.0.103,28049,80,FTP,424,PSH,0.854694102,No Attack
41,192.168.1.59,10.0.0.220,29133,21,HTTPS,703,PSH,2.43,MITM
42,192.168.1.170,10.0.0.106,21778,21,HTTPS,580,RST,0.41,Session Hijack
43,192.168.1.220,10.0.0.119,5325,443,HTTP,531,RST,0.5,XSS
44,192.168.1.188,10.0.0.70,8231,25,SMTP,788,PSH,0.96,SQLi
45,192.168.1.208,10.0.0.195,28944,80,FTP,624,PSH,1.89,DoS
46,192.168.1.15,10.0.0.186,23227,22,SSH,687,FIN,7.49,Ransomware
47,192.168.1.190,10.0.0.99,59234,21,FTP,569,ACK,3.06,Phishing
48,192.168.1.190,10.0.0.82,50268,80,HTTPS,634,RST,1.63,No Attack
49,192.168.1.175,10.0.0.75,22569,443,SMTP,550,ACK,1.444068968,MITM
50,192.168.1.190,10.0.0.118,25040,21,HTTP,519,RST,1.45,Session Hijack
51,192.168.1.51,10.0.0.84,32122,21,FTP,605,URG,1.796370384,XSS
52,192.168.1.108,10.0.0.192,61546,8080,HTTP,608,FIN,0.71,SQLi
53,192.168.1.55,10.0.0.69,59719,443,HTTPS,665,ACK,0.58,DoS
54,192.168.1.244,10.0.0.211,56384,8080,SSH,804,FIN,0.85,Ransomware
55,192.168.1.64,10.0.0.214,9580,443,FTP,454,SYN,0.13,Phishing
56,192.168.1.249,10.0.0.59,55092,443,HTTPS,405,ACK,2.757274526,No Attack
57,192.168.1.131,10.0.0.188,47587,8080,SMTP,425,ACK,0.09,MITM
58,192.168.1.229,10.0.0.211,21126,80,FTP,766,URG,2.16,Session Hijack
59,192.168.1.51,10.0.0.126,39917,80,HTTP,767,ACK,2.62,XSS
60,192.168.1.135,10.0.0.111,2948,80,FTP,549,SYN,1.33,SQLi
61,192.168.1.21,10.0.0.62,20503,25,HTTPS,564,SYN,3.04,DoS
62,192.168.1.73,10.0.0.144,40475,21,HTTPS,515,FIN,6.85,Ransomware
63,192.168.1.167,10.0.0.128,55357,80,HTTP,756,SYN,0.83,Phishing
64,192.168.1.18,10.0.0.216,19946,25,HTTPS,563,RST,1.93,No Attack
65,192.168.1.132,10.0.0.105,59664,21,FTP,619,PSH,0.78,MITM
66,192.168.1.89,10.0.0.68,19684,80,HTTP,662,ACK,1.17,Session Hijack
67,192.168.1.60,10.0.0.15,47123,443,HTTPS,416,FIN,0.196631084,XSS
68,192.168.1.14,10.0.0.217,58370,22,HTTPS,431,FIN,0.15,SQLi
69,192.168.1.242,10.0.0.236,61860,80,FTP,674,FIN,3.19,DoS
70,192.168.1.250,10.0.0.183,10969,22,HTTPS,732,FIN,0.3,Ransomware
71,192.168.1.9,10.0.0.35,51086,80,FTP,660,ACK,2.4,Phishing
72,192.168.1.90,10.0.0.183,1330,443,SMTP,701,FIN,3.891692061,No Attack
73,192.168.1.53,10.0.0.14,23983,22,FTP,770,ACK,11.16,MITM
74,192.168.1.130,10.0.0.177,5255,25,SSH,291,FIN,2.38,Session Hijack
75,192.168.1.84,10.0.0.211,39820,443,HTTPS,632,FIN,0.28,XSS
76,192.168.1.92,10.0.0.102,13231,22,SMTP,397,PSH,1.97,SQLi
77,192.168.1.111,10.0.0.100,40450,22,HTTP,690,RST,1.49,DoS
78,192.168.1.188,10.0.0.7,7360,8080,SSH,445,SYN,4.99,Ransomware
79,192.168.1.199,10.0.0.30,47688,8080,HTTP,711,SYN,2.755659918,Phishing
80,192.168.1.172,10.0.0.211,10654,443,SSH,512,SYN,1.46,No Attack
81,192.168.1.253,10.0.0.49,18280,443,SMTP,581,RST,1.96,MITM
82,192.168.1.8,10.0.0.217,34933,443,SMTP,707,ACK,1.17,Session Hijack
83,192.168.1.175,10.0.0.144,50841,21,SMTP,706,SYN,1.42,XSS
84,192.168.1.35,10.0.0.111,42192,25,SSH,591,SYN,3.363691767,SQLi
85,192.168.1.206,10.0.0.246,34743,80,FTP,316,SYN,0.84428607,DoS
86,192.168.1.81,10.0.0.232,43041,8080,HTTP,640,ACK,1.91,Ransomware
87,192.168.1.164,10.0.0.179,46728,22,FTP,520,RST,0.18,Phishing
88,192.168.1.50,10.0.0.72,31037,8080,FTP,782,RST,3.86,No Attack
89,192.168.1.104,10.0.0.210,15479,80,HTTPS,468,URG,5.71,MITM
90,192.168.1.132,10.0.0.220,5746,443,HTTP,393,URG,3.03,Session Hijack
91,192.168.1.2,10.0.0.80,13836,8080,SSH,374,ACK,2.53,XSS
92,192.168.1.254,10.0.0.244,31300,25,HTTPS,606,PSH,7.244551641,SQLi
93,192.168.1.134,10.0.0.83,37800,25,HTTPS,579,FIN,0.49,DoS
94,192.168.1.54,10.0.0.42,11084,21,SMTP,585,ACK,0.52,Ransomware
95,192.168.1.106,10.0.0.17,14080,8080,SSH,232,FIN,2.008324702,Phishing
96,192.168.1.4,10.0.0.191,7679,443,FTP,767,RST,0.788440995,No Attack
97,192.168.1.54,10.0.0.173,23598,22,FTP,296,FIN,7.750531182,MITM
98,192.168.1.221,10.0.0.205,50947,21,FTP,717,URG,0.07,Session Hijack
99,192.168.1.191,10.0.0.7,14051,443,SMTP,355,SYN,1.81,XSS
100,192.168.1.146,10.0.0.155,5054,21,FTP,501,FIN,0.87,SQLi
101,192.168.1.218,10.0.0.10,25267,8080,HTTP,523,URG,0.22,DoS
102,192.168.1.44,10.0.0.34,34313,80,FTP,536,FIN,1.623335668,Ransomware
103,192.168.1.162,10.0.0.36,20763,8080,FTP,532,RST,0.61,Phishing
104,192.168.1.202,10.0.0.153,35192,443,HTTP,513,PSH,0.23,No Attack
105,192.168.1.190,10.0.0.6,64645,22,SMTP,605,FIN,5.64,MITM
106,192.168.1.228,10.0.0.152,45722,22,HTTPS,477,RST,0.56,Session Hijack
107,192.168.1.14,10.0.0.146,62711,443,SSH,434,SYN,0.2,XSS
108,192.168.1.95,10.0.0.215,37515,21,SMTP,511,FIN,2.94,SQLi
109,192.168.1.48,10.0.0.134,31037,25,FTP,476,FIN,1.07,DoS
110,192.168.1.15,10.0.0.29,7603,443,HTTPS,531,SYN,3.71,Ransomware
111,192.168.1.200,10.0.0.126,53423,8080,SSH,490,URG,3.65,Phishing
112,192.168.1.206,10.0.0.153,19266,22,SSH,584,URG,9.75,No Attack
113,192.168.1.215,10.0.0.183,5805,80,SSH,469,URG,3.26,MITM
114,192.168.1.252,10.0.0.81,21472,22,HTTP,560,ACK,0.48,Session Hijack
115,192.168.1.249,10.0.0.174,46665,25,HTTP,555,PSH,1.77,XSS
116,192.168.1.190,10.0.0.152,52574,22,HTTPS,486,SYN,1.49,SQLi
117,192.168.1.40,10.0.0.75,50318,25,FTP,535,URG,1.42,DoS
118,192.168.1.213,10.0.0.26,22470,443,HTTPS,499,SYN,0.7,Ransomware
119,192.168.1.208,10.0.0.127,12067,22,FTP,815,SYN,0.47,Phishing
120,192.168.1.237,10.0.0.115,20877,21,SMTP,445,ACK,3.113588506,No Attack
121,192.168.1.82,10.0.0.126,50167,8080,SSH,482,SYN,0.21,MITM
122,192.168.1.111,10.0.0.226,21103,21,SSH,394,ACK,0.1,Session Hijack
123,192.168.1.53,10.0.0.28,18125,8080,HTTP,534,PSH,0.96,XSS
124,192.168.1.24,10.0.0.131,1666,22,SMTP,664,ACK,2.72,SQLi
125,192.168.1.154,10.0.0.75,29040,22,SMTP,513,PSH,4.06,DoS
126,192.168.1.217,10.0.0.166,19956,8080,FTP,470,PSH,1.55,Ransomware
127,192.168.1.252,10.0.0.189,45677,80,SMTP,469,PSH,3.66,Phishing
128,192.168.1.188,10.0.0.78,25969,22,HTTP,500,RST,0.05,No Attack
129,192.168.1.124,10.0.0.179,53826,80,FTP,572,PSH,1.22,MITM
130,192.168.1.237,10.0.0.90,8573,80,HTTPS,519,ACK,1.718928804,Session Hijack
131,192.168.1.41,10.0.0.176,14421,8080,FTP,521,RST,1.75,XSS
132,192.168.1.157,10.0.0.21,26386,80,HTTPS,531,SYN,5.08,SQLi
133,192.168.1.15,10.0.0.54,48866,80,FTP,470,SYN,0.01,DoS
134,192.168.1.45,10.0.0.184,47563,443,SSH,515,FIN,2.21,Ransomware
135,192.168.1.65,10.0.0.103,34741,21,HTTPS,496,PSH,3.14,Phishing
136,192.168.1.89,10.0.0.222,55620,80,HTTP,458,FIN,2.73,No Attack
137,192.168.1.71,10.0.0.59,50697,21,HTTPS,449,PSH,0.04,MITM
138,192.168.1.9,10.0.0.72,24040,80,HTTPS,543,PSH,1.177637585,Session Hijack
139,192.168.1.88,10.0.0.179,56224,21,FTP,690,URG,0.620061846,XSS
140,192.168.1.129,10.0.0.20,15756,22,SSH,598,ACK,0.927340267,SQLi
141,192.168.1.236,10.0.0.112,61311,22,FTP,696,ACK,2.62,DoS
142,192.168.1.136,10.0.0.224,50530,21,FTP,292,SYN,1.11,Ransomware
143,192.168.1.216,10.0.0.214,63410,80,SSH,926,RST,3.958357825,Phishing
144,192.168.1.63,10.0.0.59,27935,443,FTP,499,SYN,0.89,No Attack
145,192.168.1.139,10.0.0.71,18890,21,SSH,618,PSH,0.25,MITM
146,192.168.1.243,10.0.0.137,43631,25,HTTP,494,URG,2.53,Session Hijack
147,192.168.1.81,10.0.0.109,28645,443,SSH,637,RST,1.97,XSS
148,192.168.1.136,10.0.0.129,13847,25,SMTP,418,FIN,0.24,SQLi
149,192.168.1.163,10.0.0.157,31010,21,SSH,561,PSH,5.16,DoS
150,192.168.1.163,10.0.0.191,57170,80,SSH,673,ACK,0.74,Ransomware
151,192.168.1.33,10.0.0.200,65349,25,SMTP,491,SYN,2.13,Phishing
152,192.168.1.123,10.0.0.56,52391,21,SSH,249,SYN,0.07,No Attack
153,192.168.1.5,10.0.0.246,63413,443,HTTPS,615,FIN,1.17,MITM
154,192.168.1.234,10.0.0.196,54892,80,FTP,392,SYN,6.67,Session Hijack
155,192.168.1.231,10.0.0.35,58795,25,FTP,447,SYN,4.35,XSS
156,192.168.1.250,10.0.0.123,55997,21,HTTP,655,RST,0.5,SQLi
157,192.168.1.41,10.0.0.131,52713,80,HTTP,559,PSH,5.475725586,DoS
158,192.168.1.28,10.0.0.246,15714,80,SMTP,452,RST,2.381247322,Ransomware
159,192.168.1.135,10.0.0.237,40131,22,HTTPS,628,RST,3.82,Phishing
160,192.168.1.201,10.0.0.104,58912,80,HTTP,449,SYN,2.61,No Attack
161,192.168.1.72,10.0.0.7,11980,21,FTP,528,PSH,0.87,MITM
162,192.168.1.12,10.0.0.27,22327,443,HTTP,327,SYN,4.83,Session Hijack
163,192.168.1.162,10.0.0.1,57251,8080,HTTP,533,URG,1.33,XSS
164,192.168.1.33,10.0.0.219,37557,22,SSH,448,URG,0.76,SQLi
165,192.168.1.48,10.0.0.208,30698,21,HTTP,510,SYN,0.66,DoS
166,192.168.1.247,10.0.0.230,59026,21,SMTP,624,RST,6.813183687,Ransomware
167,192.168.1.151,10.0.0.199,57258,21,FTP,698,URG,2.84,Phishing
168,192.168.1.62,10.0.0.172,36619,25,SMTP,381,ACK,0.86,No Attack
169,192.168.1.216,10.0.0.87,3082,25,SMTP,533,URG,0.59,MITM
170,192.168.1.37,10.0.0.41,57925,443,HTTPS,604,ACK,0.48,Session Hijack
171,192.168.1.99,10.0.0.123,12543,21,SSH,660,RST,0.56,XSS
172,192.168.1.172,10.0.0.75,32139,25,SMTP,642,RST,0.24,SQLi
173,192.168.1.104,10.0.0.42,1754,25,HTTPS,575,SYN,1.33,DoS
174,192.168.1.214,10.0.0.117,2856,25,FTP,483,PSH,0.08,Ransomware
175,192.168.1.219,10.0.0.161,42392,443,FTP,742,URG,0.02,Phishing
176,192.168.1.35,10.0.0.178,23913,443,HTTPS,595,SYN,1.93,No Attack
177,192.168.1.193,10.0.0.63,49410,21,SMTP,442,SYN,0.19,MITM
178,192.168.1.227,10.0.0.228,40962,22,SMTP,501,FIN,3.73,Session Hijack
179,192.168.1.101,10.0.0.165,5203,21,SSH,596,SYN,0.23,XSS
180,192.168.1.175,10.0.0.233,7323,25,SSH,646,PSH,1.56,SQLi
181,192.168.1.206,10.0.0.187,8854,8080,FTP,510,SYN,2.25,DoS
